model_name,unit_no,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-22,2025-03-23,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
マイジャグラーV,1071,302.0,378.0,293.3,376.0,308.6,318.1,inf,300.1,236.8,301.3,306.1,352.7,341.5,271.7,489.0,338.1,271.7,960.0,311.7,483.6,304.8,281.1,519.5,676.0,331.2,324.2,303.3,343.6,509.3,621.5,250.8
マイジャグラーV,1072,238.6,428.8,444.5,332.2,430.6,206.2,250.2,479.4,614.8,436.0,367.1,416.9,597.5,299.0,231.7,304.2,299.0,461.0,379.1,522.2,311.2,577.9,433.0,550.5,231.8,920.5,inf,225.5,355.4,316.5,371.8
マイジャグラーV,1073,653.8,324.3,286.2,519.9,1315.0,391.0,inf,274.6,312.3,234.4,598.0,326.6,337.6,1240.0,344.7,279.6,1240.0,464.8,363.9,317.7,383.5,278.5,1048.5,339.8,291.7,391.5,478.5,477.3,312.7,618.3,535.4
マイジャグラーV,1074,300.0,862.0,915.0,311.8,270.4,300.7,488.5,267.9,414.9,inf,612.5,441.7,626.8,948.3,541.0,343.5,948.3,677.8,409.9,339.1,318.5,408.2,395.0,395.0,369.7,1338.0,456.7,427.7,299.2,459.6,258.0
マイジャグラーV,1075,745.0,312.4,260.9,515.4,538.0,325.5,387.3,263.1,319.4,447.1,751.0,279.8,584.2,555.5,426.1,286.1,555.5,342.3,242.6,491.2,932.0,744.0,506.5,324.5,406.6,328.3,465.5,378.0,411.7,636.0,603.3
マイジャグラーV,1076,341.8,362.4,327.9,455.8,330.3,421.1,353.7,250.5,309.0,inf,368.5,561.0,530.2,419.0,453.1,500.0,419.0,659.3,312.8,470.2,324.3,508.8,404.8,195.9,427.5,1360.0,288.3,344.4,300.0,291.4,485.1
マイジャグラーV,1077,316.2,579.8,456.0,362.5,506.5,327.3,339.8,230.3,738.7,410.5,598.5,255.1,561.2,348.1,344.7,251.2,348.1,508.3,263.4,389.3,485.3,532.8,332.3,266.9,294.7,341.6,314.4,381.4,394.9,605.8,355.9
マイジャグラーV,1078,975.0,366.4,287.9,423.0,303.1,511.4,641.5,242.6,267.1,337.5,243.2,1596.0,315.1,384.6,276.9,261.8,384.6,583.5,299.0,437.3,796.0,334.4,329.1,273.5,404.6,283.8,585.0,270.3,507.2,311.4,365.4
マイジャグラーV,1079,463.0,410.6,261.8,253.5,1228.0,409.0,887.0,239.6,232.4,269.6,inf,419.5,754.0,352.4,540.2,374.8,352.4,325.7,612.3,243.8,399.6,343.0,277.8,304.5,326.2,389.2,348.1,702.3,289.2,343.5,368.8
マイジャグラーV,1080,353.9,422.0,272.8,435.7,258.7,265.1,368.3,225.1,292.6,735.0,483.1,226.5,361.5,398.3,551.1,483.8,398.3,538.0,220.9,395.0,506.4,602.3,382.8,311.0,385.0,1426.0,390.8,350.1,279.1,789.4,435.5
