model_name,unit_no,2024-05-05,2024-05-04,2024-05-03,2024-05-02,2024-05-01,2024-04-30,2024-04-29,2024-04-28,2024-04-27,2024-04-26,2024-04-25
マイジャグラーV,1079,119.6,143.0,115.5,135.6,180.2,178.0,97.4,122.1,178.0,109.8,102.1
マイジャグラーV,1080,171.4,120.4,123.5,186.6,175.2,135.8,149.5,115.7,163.7,188.1,159.0
マイジャグラーV,1081,136.3,225.6,148.7,138.4,153.9,164.2,149.2,140.8,251.8,119.1,123.6
マイジャグラーV,1082,212.4,152.7,112.8,178.2,183.0,165.9,151.5,166.2,140.3,141.1,162.7
マイジャグラーV,1083,147.5,145.3,162.9,157.7,172.0,123.7,190.9,156.6,138.1,113.0,162.0
マイジャグラーV,1084,113.3,144.2,175.3,184.2,168.6,134.3,153.9,136.3,183.4,165.1,138.1
マイジャグラーV,1085,139.4,138.3,160.4,147.4,160.6,142.7,161.7,138.2,94.4,139.2,152.5
マイジャグラーV,1086,110.0,286.6,155.5,114.8,125.1,304.0,120.5,120.9,204.7,152.7,139.6
マイジャグラーV,1087,180.4,150.4,130.3,145.0,110.6,115.6,165.8,133.8,131.3,133.2,143.8
マイジャグラーV,1088,160.5,135.7,174.8,134.8,232.6,176.8,119.6,107.0,155.9,130.0,166.9
マイジャグラーV,1089,131.6,157.0,146.1,143.4,125.0,193.9,142.9,111.8,98.3,112.6,315.5
マイジャグラーV,1090,114.1,217.5,118.5,149.9,191.1,127.6,105.6,197.7,167.4,153.2,144.0
マイジャグラーV,1091,131.9,421.4,178.6,171.2,135.0,122.0,192.2,184.7,125.2,130.2,213.2
マイジャグラーV,1092,153.3,139.0,222.3,147.2,115.3,112.1,182.2,170.8,123.7,145.5,145.1
マイジャグラーV,1093,159.1,183.0,100.5,177.9,126.1,270.1,146.0,185.1,152.5,122.8,155.3
マイジャグラーV,1094,110.6,115.1,193.2,149.6,146.3,161.5,157.8,146.4,144.0,136.8,150.1
マイジャグラーV,1095,136.5,116.5,106.3,179.6,190.8,157.8,120.0,155.9,134.1,139.7,129.0
マイジャグラーV,1096,151.4,143.8,220.7,116.8,149.2,123.1,109.2,122.8,162.3,161.2,153.9
マイジャグラーV,1097,221.8,192.2,121.9,146.1,107.8,171.1,124.0,136.8,164.1,139.2,138.6
マイジャグラーV,1098,147.6,152.8,167.2,141.3,122.9,108.3,174.9,182.5,109.6,171.1,159.8
マイジャグラーV,1099,139.0,225.4,149.0,205.2,169.3,151.3,109.6,133.7,201.8,151.4,123.4
,,,,,,,,,,,,
