,hall_name,date,model_name,unit_no,game,BB,RB,medals,BB_rate,RB_rate,Grape_rate,Total_rate,month,day,weekday,year,unit_last,area,5more
36,楽園大山店,2025-06-30,ファンキージャグラー2,2681,1659,5,2,-428,331.8,829.5,5.58,237.0,2025-06,30,0,2025,1,f: FJ2,0.0
37,楽園大山店,2025-06-30,ゴーゴージャグラー3,2682,4303,16,8,-285,268.9,537.9,5.75,179.3,2025-06,30,0,2025,2,a: GJ3,0.0
38,楽園大山店,2025-06-30,ゴーゴージャグラー3,2683,3950,8,12,-1857,493.8,329.2,6.25,197.5,2025-06,30,0,2025,3,a: GJ3,0.0
39,楽園大山店,2025-06-30,ゴーゴージャグラー3,2685,7683,28,29,238,274.4,264.9,6.04,134.8,2025-06,30,0,2025,5,a: GJ3,0.36
40,楽園大山店,2025-06-30,ゴーゴージャグラー3,2686,7134,32,19,572,222.9,375.5,6.26,139.9,2025-06,30,0,2025,6,a: GJ3,0.01
41,楽園大山店,2025-06-30,ゴーゴージャグラー3,2687,8046,35,26,1096,229.9,309.5,6.1,131.9,2025-06,30,0,2025,7,a: GJ3,0.16
42,楽園大山店,2025-06-30,ゴーゴージャグラー3,2688,5430,19,17,-333,285.8,319.4,6.02,150.8,2025-06,30,0,2025,8,a: GJ3,0.13
43,楽園大山店,2025-06-30,ゴーゴージャグラー3,2700,8110,24,36,-666,337.9,225.3,6.1,135.2,2025-06,30,0,2025,0,a: GJ3,0.5
44,楽園大山店,2025-06-30,ゴーゴージャグラー3,2701,3473,7,14,-1428,496.1,248.1,6.42,165.4,2025-06,30,0,2025,1,a: GJ3,0.0
45,楽園大山店,2025-06-30,ウルトラミラクルジャグラー,2702,8457,36,33,1572,234.9,256.3,0.0,122.6,2025-06,30,0,2025,2,h: UMJ,0.81
46,楽園大山店,2025-06-30,ウルトラミラクルジャグラー,2703,7792,30,33,1096,259.7,236.1,0.0,123.7,2025-06,30,0,2025,3,h: UMJ,0.8400000000000001
47,楽園大山店,2025-06-30,ウルトラミラクルジャグラー,2705,9240,40,30,2048,231.0,308.0,0.0,132.0,2025-06,30,0,2025,5,h: UMJ,0.51
48,楽園大山店,2025-06-30,ミスタージャグラー,2800,5779,18,20,-285,321.1,289.0,0.0,152.1,2025-06,30,0,2025,0,i: MRJ,0.16999999999999998
49,楽園大山店,2025-06-30,ミスタージャグラー,2801,8814,46,41,5191,191.6,215.0,0.0,101.3,2025-06,30,0,2025,1,i: MRJ,0.98
50,楽園大山店,2025-06-30,ミスタージャグラー,2802,1725,4,3,-762,431.2,575.0,0.0,246.4,2025-06,30,0,2025,2,i: MRJ,0.0
51,楽園大山店,2025-06-30,ミスタージャグラー,2803,2969,10,4,-809,296.9,742.2,0.0,212.1,2025-06,30,0,2025,3,i: MRJ,0.0
52,楽園大山店,2025-06-30,アイムジャグラーEX-TP,2805,2959,11,5,-142,269.0,591.8,5.77,184.9,2025-06,30,0,2025,5,e: I'm,0.0
53,楽園大山店,2025-06-30,アイムジャグラーEX-TP,2806,7449,28,26,381,266.0,286.5,6.14,137.9,2025-06,30,0,2025,6,e: I'm,0.32
54,楽園大山店,2025-06-30,アイムジャグラーEX-TP,2807,6959,31,25,1762,224.5,278.4,6.06,124.3,2025-06,30,0,2025,7,e: I'm,0.56
55,楽園大山店,2025-06-30,アイムジャグラーEX-TP,2808,7733,38,23,3096,203.5,336.2,5.67,126.8,2025-06,30,0,2025,8,e: I'm,0.74
56,楽園大山店,2025-06-30,アイムジャグラーEX-TP,2810,7926,39,27,3096,203.2,293.6,5.89,120.1,2025-06,30,0,2025,0,e: I'm,0.69
57,楽園大山店,2025-06-30,アイムジャグラーEX-TP,2811,1811,2,4,-1428,905.5,452.8,6.39,301.8,2025-06,30,0,2025,1,e: I'm,0.0
58,楽園大山店,2025-06-30,アイムジャグラーEX-TP,2812,7275,24,22,-571,303.1,330.7,6.0,158.2,2025-06,30,0,2025,2,e: I'm,0.07
59,楽園大山店,2025-06-30,マイジャグラーV,3001,6078,26,15,524,233.8,405.2,5.89,148.2,2025-06,30,0,2025,1,d: MJV,0.07
60,楽園大山店,2025-06-30,マイジャグラーV,3002,7406,21,26,-857,352.7,284.8,5.71,157.6,2025-06,30,0,2025,2,d: MJV,0.27
61,楽園大山店,2025-06-30,マイジャグラーV,3003,8504,44,29,3238,193.3,293.2,5.93,116.5,2025-06,30,0,2025,3,d: MJV,0.68
62,楽園大山店,2025-06-29,ハッピージャグラーVIII,2626,5951,16,21,-1047,371.9,283.4,0.0,160.8,2025-06,29,6,2025,6,g: HJV3,0.19
63,楽園大山店,2025-06-29,ハッピージャグラーVIII,2627,2722,9,7,-571,302.4,388.9,0.0,170.1,2025-06,29,6,2025,7,g: HJV3,0.0
64,楽園大山店,2025-06-29,ハッピージャグラーVIII,2628,7246,35,25,2858,207.0,289.8,0.0,120.8,2025-06,29,6,2025,8,g: HJV3,0.62
65,楽園大山店,2025-06-29,マイジャグラーV,2630,7797,26,28,381,299.9,278.5,5.56,144.4,2025-06,29,6,2025,0,b: MJV,0.53
66,楽園大山店,2025-06-29,マイジャグラーV,2631,5228,19,14,-333,275.2,373.4,5.96,158.4,2025-06,29,6,2025,1,b: MJV,0.06
67,楽園大山店,2025-06-29,マイジャグラーV,2632,6285,30,20,1619,209.5,314.2,5.96,125.7,2025-06,29,6,2025,2,b: MJV,0.43
68,楽園大山店,2025-06-29,マイジャグラーV,2633,2948,8,5,-1142,368.5,589.6,6.0,226.8,2025-06,29,6,2025,3,b: MJV,0.0
69,楽園大山店,2025-06-29,マイジャグラーV,2635,7936,24,28,-1190,330.7,283.4,6.06,152.6,2025-06,29,6,2025,5,b: MJV,0.19
70,楽園大山店,2025-06-29,マイジャグラーV,2636,4795,18,14,96,266.4,342.5,5.82,149.8,2025-06,29,6,2025,6,b: MJV,0.0
71,楽園大山店,2025-06-29,マイジャグラーV,2637,9710,42,40,3334,231.2,242.8,5.53,118.4,2025-06,29,6,2025,7,b: MJV,0.97
72,楽園大山店,2025-06-29,マイジャグラーV,2638,2863,8,4,-904,357.9,715.8,5.66,238.6,2025-06,29,6,2025,8,b: MJV,0.0
73,楽園大山店,2025-06-29,マイジャグラーV,2650,5195,22,10,-95,236.1,519.5,6.08,162.3,2025-06,29,6,2025,0,c: MJV,0.01
