,hall_name,date,model_name,unit_no,game,BB,RB,medals,BB_rate,RB_rate,Grape_rate,Total_rate,month,day,weekday,year,unit_last,area,5_more
46,EXA FIRST,2025-04-30,マイジャグラーV,1047,3015,10,8,-362,301.5,376.9,5.8,167.5,2025-04,30,2,2025,7,f: マイジャグラーV,0.0
47,EXA FIRST,2025-04-30,マイジャグラーV,1048,6822,27,17,485,252.7,401.3,5.58,155.0,2025-04,30,2,2025,8,f: マイジャグラーV,0.09999999999999999
48,EXA FIRST,2025-04-30,マイジャグラーV,1049,4400,20,8,312,220.0,550.0,5.9,157.1,2025-04,30,2,2025,9,f: マイジャグラーV,0.0
49,EXA FIRST,2025-04-30,マイジャグラーV,1050,6007,20,27,441,300.4,222.5,5.73,127.8,2025-04,30,2,2025,0,f: マイジャグラーV,0.8200000000000001
50,EXA FIRST,2025-04-30,ファンキージャグラー2,1051,5849,31,6,912,188.7,974.8,5.99,158.1,2025-04,30,2,2025,1,g: ファンキージャグラー2,0.0
51,EXA FIRST,2025-04-30,ファンキージャグラー2,1052,1609,6,3,-174,268.2,536.3,5.85,178.8,2025-04,30,2,2025,2,g: ファンキージャグラー2,0.0
52,EXA FIRST,2025-04-30,ファンキージャグラー2,1053,4179,15,11,-18,278.6,379.9,5.59,160.7,2025-04,30,2,2025,3,g: ファンキージャグラー2,0.0
53,EXA FIRST,2025-04-30,ファンキージャグラー2,1054,6032,25,24,1068,241.3,251.3,5.92,123.1,2025-04,30,2,2025,4,g: ファンキージャグラー2,0.6699999999999999
54,EXA FIRST,2025-04-30,ファンキージャグラー2,1055,3551,20,5,818,177.6,710.2,6.18,142.0,2025-04,30,2,2025,5,g: ファンキージャグラー2,0.0
55,EXA FIRST,2025-04-30,ファンキージャグラー2,1056,3582,16,8,-21,223.9,447.8,6.36,149.2,2025-04,30,2,2025,6,h: ファンキージャグラー2,0.0
56,EXA FIRST,2025-04-30,ファンキージャグラー2,1057,1204,6,2,126,200.7,602.0,6.15,150.5,2025-04,30,2,2025,7,h: ファンキージャグラー2,0.0
57,EXA FIRST,2025-04-30,ファンキージャグラー2,1058,2817,10,5,-515,281.7,563.4,5.95,187.8,2025-04,30,2,2025,8,h: ファンキージャグラー2,0.0
