,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f: ウルトラミラクルジャグラー,860,22067,19,1.0,416.4,157.6,1360.0,-715.0,0.825,453.3,272.0,2733.0,-331.0,0.96,683.2,182.2,2956.0,541.0,1.061,328.4,134.4,483.0,-517.0,0.643,483.0,483.0,8314.0,1233.0,1.049,346.4,138.6,6221.0,-192.0,0.99,518.4,168.1
f: ウルトラミラクルジャグラー,861,13000,-2036,0.948,371.4,168.8,1524.0,-529.0,0.884,381.0,190.5,984.0,-297.0,0.899,492.0,196.8,2557.0,-483.0,0.937,852.3,232.5,1680.0,52.0,1.01,840.0,168.0,1316.0,-703.0,0.822,329.0,219.3,4939.0,-76.0,0.995,247.0,133.5
f: ウルトラミラクルジャグラー,862,16274,966,1.02,387.5,146.6,1398.0,-366.0,0.913,279.6,174.8,1185.0,-424.0,0.881,1185.0,296.2,643.0,320.0,1.166,321.5,107.2,2455.0,1523.0,1.207,613.8,116.9,4729.0,-52.0,0.996,278.2,135.1,5864.0,-35.0,0.998,451.1,158.5
f: ウルトラミラクルジャグラー,863,17554,349,1.007,358.2,152.6,1353.0,-715.0,0.824,676.5,270.6,3973.0,-872.0,0.927,397.3,180.6,2916.0,1407.0,1.161,182.2,100.6,2644.0,145.0,1.018,330.5,146.9,3772.0,64.0,1.006,419.1,150.9,2896.0,320.0,1.037,724.0,181.0
f: ウルトラミラクルジャグラー,864,11587,158,1.005,373.8,150.5,2520.0,1105.0,1.146,252.0,105.0,1871.0,262.0,1.047,623.7,143.9,1419.0,-41.0,0.99,473.0,157.7,694.0,-203.0,0.902,694.0,231.3,2238.0,-715.0,0.894,319.7,186.5,2845.0,-250.0,0.971,406.4,177.8
f: ウルトラミラクルジャグラー,865,23996,3075,1.043,470.5,149.0,1970.0,-297.0,0.95,281.4,151.5,5671.0,593.0,1.035,1134.2,171.8,1485.0,215.0,1.048,371.2,135.0,2328.0,-390.0,0.944,582.0,179.1,6001.0,1756.0,1.098,285.8,122.5,6541.0,1198.0,1.061,654.1,155.7
g: ジャグラーガールズ,816,10575,-1511,0.952,364.7,165.2,815.0,-285.0,0.883,,271.7,724.0,-203.0,0.907,724.0,181.0,886.0,-308.0,0.884,221.5,177.2,2826.0,-215.0,0.975,314.0,157.0,4586.0,-483.0,0.965,382.2,158.1,738.0,-17.0,0.992,246.0,147.6
g: ジャグラーガールズ,817,9278,-884,0.968,545.8,178.4,2540.0,308.0,1.04,362.9,141.1,1482.0,-285.0,0.936,494.0,185.2,777.0,-529.0,0.773,777.0,388.5,284.0,-262.0,0.692,,,2833.0,-250.0,0.971,944.3,202.4,1362.0,134.0,1.033,454.0,136.2
g: ジャグラーガールズ,818,6932,-3011,0.855,630.2,231.1,1335.0,-436.0,0.891,667.5,222.5,977.0,-471.0,0.839,325.7,195.4,149.0,-262.0,0.414,,,525.0,-738.0,0.531,,,3019.0,-587.0,0.935,754.8,201.3,927.0,-517.0,0.814,463.5,231.8
h: ハッピージャグラーVIII,849,13627,-1279,0.969,340.7,158.5,6276.0,198.0,1.011,261.5,136.4,1275.0,-250.0,0.935,425.0,182.1,900.0,634.0,1.235,900.0,112.5,1900.0,-76.0,0.987,271.4,146.2,2666.0,-1965.0,0.754,533.2,333.2,610.0,180.0,1.098,,152.5
h: ハッピージャグラーVIII,850,6501,-1990,0.898,382.4,180.6,934.0,-99.0,0.965,934.0,186.8,2198.0,-436.0,0.934,274.8,157.0,954.0,-390.0,0.864,318.0,190.8,589.0,-169.0,0.904,196.3,147.2,1538.0,-355.0,0.923,1538.0,219.7,288.0,-541.0,0.374,288.0,288.0
h: ハッピージャグラーVIII,851,15919,99,1.002,418.9,150.2,1565.0,-29.0,0.994,391.2,142.3,1969.0,366.0,1.062,984.5,151.5,2480.0,-308.0,0.959,248.0,137.8,1117.0,-529.0,0.842,558.5,223.4,4799.0,-506.0,0.965,479.9,171.4,3989.0,1105.0,1.092,398.9,128.7
h: ハッピージャグラーVIII,852,11761,2233,1.063,326.7,135.2,2791.0,-145.0,0.983,232.6,139.6,3315.0,1244.0,1.125,368.3,127.5,150.0,87.0,1.193,,150.0,2614.0,320.0,1.041,653.5,153.8,1297.0,-587.0,0.849,648.5,259.4,1594.0,1314.0,1.275,177.1,88.6
h: ハッピージャグラーVIII,853,6549,-2023,0.897,344.7,181.9,315.0,-250.0,0.735,315.0,315.0,1839.0,-308.0,0.944,459.8,167.2,408.0,-180.0,0.853,,408.0,706.0,-541.0,0.745,176.5,176.5,2563.0,-564.0,0.927,320.4,170.9,718.0,-180.0,0.916,359.0,179.5
h: ハッピージャグラーVIII,854,14754,4204,1.095,320.7,126.1,3804.0,826.0,1.072,345.8,131.2,3522.0,494.0,1.047,234.8,125.8,2939.0,285.0,1.032,419.9,147.0,1978.0,1570.0,1.265,219.8,94.2,2367.0,1198.0,1.169,591.8,124.6,144.0,-169.0,0.609,,
